GEOID,month,EHD_threshold
1001,6,27.958002
1001,7,28.936
1001,8,28.935001
1003,6,28.313002
1003,7,29.074001
1003,8,29.03
1005,6,27.837002
1005,7,28.674002
1005,8,28.467001
1007,6,27.69
1007,7,28.689001
1007,8,28.715002
1009,6,26.624
1009,7,27.839
1009,8,27.77
1011,6,27.405499
1011,7,28.397001
1011,8,28.292002
1013,6,27.548002
1013,7,28.461
1013,8,28.413002
1015,6,26.549002
1015,7,27.832
1015,8,27.709002
1017,6,26.889002
1017,7,27.997825
1017,8,27.804
1019,6,26.352001
1019,7,27.700951899999996
1019,8,27.518002
1021,6,27.369001
1021,7,28.482002
1021,8,28.440379999999998
1023,6,27.899002
1023,7,28.8747515
1023,8,28.898
1025,6,27.889002
1025,7,28.711
1025,8,28.699001
1027,6,26.292002
1027,7,27.421975
1027,8,27.291
1029,6,25.710001
1029,7,26.926
1029,8,26.758001
1031,6,28.121002
1031,7,28.820002
1031,8,28.664001
1033,6,26.888
1033,7,28.08452
1033,8,28.002
1035,6,27.803001
1035,7,28.475002
1035,8,28.446001
1037,6,27.158
1037,7,28.264002
1037,8,28.072
1039,6,28.396002
1039,7,29.019001
1039,8,28.915
1041,6,27.58793535
1041,7,28.537
1041,8,28.435001
1043,6,26.258001
1043,7,27.512001
1043,8,27.433
1045,6,28.342001
1045,7,28.980001
1045,8,28.760002
1047,6,27.987001
1047,7,28.895
1047,8,28.897001
1049,6,25.625002
1049,7,26.879002
1049,8,26.832099799999998
1051,6,27.739002
1051,7,28.752
1051,8,28.679200399999996
1053,6,28.028002
1053,7,28.729002
1053,8,28.682001
1055,6,26.69
1055,7,27.975
1055,8,27.886002
1057,6,26.811
1057,7,28.132002
1057,8,28.123001
1059,6,26.637001
1059,7,27.858002
1059,8,27.940350699999993
1061,6,28.217001
1061,7,28.820002
1061,8,28.629002
1063,6,27.960001
1063,7,28.951002
1063,8,28.936524150000004
1065,6,27.911001
1065,7,28.856
1065,8,28.932001
1067,6,28.357002
1067,7,28.947
1067,8,28.736849749999998
1069,6,28.919
1069,7,29.366001
1069,8,29.122002
1071,6,25.876001
1071,7,27.065
1071,8,27.012001
1073,6,27.368002
1073,7,28.538002
1073,8,28.609001
1075,6,27.150002
1075,7,28.401001
1075,8,28.427002
1077,6,26.637001
1077,7,27.880001
1077,8,27.756
1079,6,26.605250750000003
1079,7,27.80785014999999
1079,8,27.688002
1081,6,27.377
1081,7,28.481
1081,8,28.262001
1083,6,26.704
1083,7,27.902
1083,8,27.666
1085,6,28.045002
1085,7,28.981
1085,8,29.001001
1087,6,27.593
1087,7,28.663002
1087,8,28.487001
1089,6,26.562002
1089,7,27.723001
1089,8,27.5490004
1091,6,27.889002
1091,7,28.812002
1091,8,28.900002
1093,6,26.486002
1093,7,27.766551100000004
1093,8,27.852001
1095,6,26.602001
1095,7,27.752
1095,8,27.732002
1097,6,28.239002
1097,7,29.02
1097,8,29.011002
1099,6,27.673002
1099,7,28.46985029999999
1099,8,28.428001
1101,6,28.159951799999995
1101,7,29.13386
1101,8,29.178001
1103,6,26.702002
1103,7,27.825
1103,8,27.672951899999997
1105,6,27.785002
